Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2020-03-19,89.97,89.97,89.97,89.97,-0.52,89.97,0.08997,2366.211
2020-03-20,89.57,89.57,89.57,89.57,-0.44,89.57,0.08957,2355.691
2020-03-23,88.55,88.55,88.55,88.55,-1.14,88.55,0.08855,2328.8650000000002
2020-03-24,88.46,88.46,88.46,88.46,-0.1,88.46,0.08846,2326.498
2020-03-25,88.77,88.77,88.77,88.77,0.35,88.77,0.08877,2334.651
2020-03-26,88.6,88.6,88.6,88.6,-0.19,88.6,0.0886,2330.18
2020-03-27,88.49,88.49,88.49,88.49,-0.12,88.49,0.08849,2327.287
2020-03-30,88.22,88.22,88.22,88.22,-0.31,88.22,0.08821999999999999,2320.1859999999997
2020-03-31,88.02,88.02,88.02,88.02,-0.23,88.02,0.08802,2314.926
2020-04-01,80.34,80.34,80.34,80.34,-8.73,80.34,0.08034000000000001,2112.942
2020-04-02,81.73,81.73,81.73,81.73,1.73,81.73,0.08173,2149.499
2020-04-03,82.38,82.38,82.38,82.38,0.8,82.38,0.08238,2166.594
2020-04-06,82.49,82.49,82.49,82.49,0.13,82.49,0.08249,2169.4869999999996
2020-04-07,81.9,81.9,81.9,81.9,-0.72,81.9,0.0819,2153.97
2020-04-08,82.87,82.87,82.87,82.87,1.18,82.87,0.08287,2179.4809999999998
2020-04-09,83.35,83.35,83.35,83.35,0.58,83.35,0.08335,2192.105
2020-04-13,83.84,83.84,83.84,83.84,0.59,83.84,0.08384,2204.9919999999997
2020-04-14,84.25,84.25,84.25,84.25,0.49,84.25,0.08425,2215.775
2020-04-15,84.22,84.22,84.22,84.22,-0.04,84.22,0.08422,2214.986
2020-04-16,84.04,84.04,84.04,84.04,-0.21,84.04,0.08404,2210.252
2020-04-17,84.17,84.17,84.17,84.17,0.15,84.17,0.08417,2213.671
2020-04-20,84.43,84.43,84.43,84.43,0.31,84.43,0.08443,2220.509
2020-04-21,83.92,83.92,83.92,83.92,-0.6,83.92,0.08392000000000001,2207.096
2020-04-22,84.13,84.13,84.13,84.13,0.25,84.13,0.08413,2212.6189999999997
2020-04-23,84.04,84.04,84.04,84.04,-0.11,84.04,0.08404,2210.252
2020-04-24,83.98,83.98,83.98,83.98,-0.07,83.98,0.08398,2208.674
2020-04-27,83.96,83.96,83.96,83.96,-0.02,83.96,0.08395999999999999,2208.1479999999997
2020-04-28,83.88,83.88,83.88,83.88,-0.1,83.88,0.08388,2206.044
2020-04-29,83.83,83.83,83.83,83.83,-0.06,83.83,0.08383,2204.7290000000003
2020-04-30,83.84,83.84,83.84,83.84,0.01,83.84,0.08384,2204.9919999999997
2020-05-01,82.5,82.5,82.5,82.5,-1.6,82.5,0.0825,2169.75
2020-05-04,82.15,82.15,82.15,82.15,-0.42,82.15,0.08215,2160.545
2020-05-05,83.06,83.06,83.06,83.06,1.11,83.06,0.08306000000000001,2184.478
2020-05-06,83.29,83.29,83.29,83.29,0.28,83.29,0.08329,2190.527
2020-05-07,85.93,85.93,85.93,85.93,3.17,85.93,0.08593,2259.9590000000003
2020-05-08,86.84,86.84,86.84,86.84,1.06,86.84,0.08684,2283.892
2020-05-11,86.69,86.69,86.69,86.69,-0.17,86.69,0.08669,2279.947
2020-05-12,87.81,87.81,87.81,87.81,1.29,87.81,0.08781,2309.403
2020-05-13,88.35,88.35,88.35,88.35,0.61,88.35,0.08835,2323.605
2020-05-14,88.74,88.74,88.74,88.74,0.44,88.74,0.08874,2333.862
2020-05-15,89.5,89.5,89.5,89.5,0.86,89.5,0.0895,2353.85
2020-05-18,91.49,91.49,91.49,91.49,2.22,91.49,0.09148999999999999,2406.187
2020-05-19,90.65,90.65,90.65,90.65,-0.92,90.65,0.09065000000000001,2384.0950000000003
2020-05-20,91.13,91.13,91.13,91.13,0.53,91.13,0.09112999999999999,2396.7189999999996
2020-05-21,91.2,91.2,91.2,91.2,0.08,91.2,0.0912,2398.56
2020-05-22,91.42,91.42,91.42,91.42,0.24,91.42,0.09142,2404.346
2020-05-26,91.64,91.64,91.64,91.64,0.24,91.64,0.09164,2410.132
2020-05-27,91.81,91.81,91.81,91.81,0.19,91.81,0.09181,2414.603
2020-05-28,92.05,92.05,92.05,92.05,0.26,92.05,0.09204999999999999,2420.915
2020-05-29,92.54,92.54,92.54,92.54,0.53,92.54,0.09254000000000001,2433.802
2020-06-01,99.16,99.16,99.16,99.16,7.15,99.16,0.09916,2607.908
2020-06-02,100.67,100.67,100.67,100.67,1.52,100.67,0.10067,2647.621
2020-06-03,100.4,100.4,100.4,100.4,-0.27,100.4,0.1004,2640.52
2020-06-04,98.85,98.85,98.85,98.85,-1.54,98.85,0.09885,2599.7549999999997
2020-06-05,100.26,100.26,100.26,100.26,1.43,100.26,0.10026,2636.838
